Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pacman-system2,model,Map,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: positionsToRender; instance; positionContainer; width; height; objectsPlaced; startingPositions; GHOST_RED; GHOST_PINK; GHOST_BLUE; GHOST_ORANGE; PACMAN_MALE; PACMAN_FEMALE
pacman-system2,model,StartingPosition,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: GHOST_RED; GHOST_PINK; GHOST_BLUE; GHOST_ORANGE; PACMAN_MALE; PACMAN_FEMALE
pacman-system2,model,StartingPosition,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: GHOST_RED; GHOST_PINK; GHOST_BLUE; GHOST_ORANGE; PACMAN_MALE; PACMAN_FEMALE
pacman-system2,model,Pacman,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Ghost; StaticTarget in method eat
pacman-system2,model,Pacman,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Ghost; StaticTarget in method eat
pacman-system2,model,PacmanContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: pacmans; max
pacman-system2,model,Placeholder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MapObject
pacman-system2,model,PointContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: points; max
pacman-system2,model,StaticTarget,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Target
pacman-system2,model,Target,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MapObject
pacman-system2,model,Wall,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MapObject
pacman-system2,model,GhostContainerTest,Feature Envy,The tool detected a instance of this smell because testRemove is more interested in members of the type: GhostContainer
pacman-system2,model,GhostTest,Feature Envy,The tool detected a instance of this smell because testSetColour is more interested in members of the type: Ghost
pacman-system2,model,GhostTest,Feature Envy,The tool detected a instance of this smell because testSetAndGetName is more interested in members of the type: Ghost
pacman-system2,model,LevelTest,Feature Envy,The tool detected a instance of this smell because testNextLevel is more interested in members of the type: Level
pacman-system2,model.event,RendererProcess,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,model.event,WorkerProcess,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,model.exception,ListFullException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,model.exception,ListFullException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ListException
pacman-system2,model.exception,ObjectAlreadyInListException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,model.exception,ObjectAlreadyInListException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ListException
pacman-system2,model.exception,ListFullExceptionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,model.exception,ObjectAlreadyInListExceptionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,model.exception,ObjectNotInitializedExceptionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system2,view,KeyboardProcesser,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainGui; MainController; Game; Settings; GhostContainer; Ghost; Position; MapObjectContainer; MapObject; Map; PositionContainer; StartingPosition; PacmanContainer; Pacman; StaticTarget; Wall; Placeholder; CoinContainer; Coin; DynamicTarget; PointContainer; Point; Level; Renderer; KeyboardProcesser
pacman-system2,view,Renderer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: readyForReRendering; controller; gui; mapHeight; mapWidth; topSpace; leftSpace; multiplier; imgOrganizer
