"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"5","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Map.java","4","326","Useless parentheses.","Code Style","UselessParentheses"
"6","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Map.java","3","398","Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/MapObject.java","3","52","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/MapObjectContainer.java","3","21","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/MapObjectContainer.java","3","32","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/MapObjectContainer.java","3","72","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Pacman.java","4","80","Useless parentheses.","Code Style","UselessParentheses"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Pacman.java","3","99","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PacmanContainer.java","3","27","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PacmanContainer.java","3","29","This final field could be made static","Design","FinalFieldCouldBeStatic"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PacmanContainer.java","3","63","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PacmanContainer.java","3","76","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PointContainer.java","3","23","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PointContainer.java","3","67","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Position.java","3","76","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/PositionContainer.java","3","93","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Scorable.java","3","18","Unnecessary modifier 'public' on method 'getScore': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Settings.java","3","22","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"1","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/Process.java","3","18","Unnecessary modifier 'public' on method 'getTiming': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"2","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/Process.java","3","19","Unnecessary modifier 'public' on method 'getStartupDelay': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"1","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/Timer.java","4","11","Avoid unused imports such as 'model.Game'","Best Practices","UnusedImports"
"2","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/Timer.java","3","24","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"1","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","4","12","Avoid unused imports such as 'model'","Best Practices","UnusedImports"
"2","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","4","15","Avoid unused imports such as 'javax.swing'","Best Practices","UnusedImports"
"3","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","4","16","Avoid unused imports such as 'java.util.ArrayList'","Best Practices","UnusedImports"
"4","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","25","Avoid unused private fields such as 'points'.","Best Practices","UnusedPrivateField"
"5","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","25","Perhaps 'points' could be replaced by a local variable.","Design","SingularField"
"6","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","27","Avoid unused private fields such as 'coins'.","Best Practices","UnusedPrivateField"
"7","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","27","Perhaps 'coins' could be replaced by a local variable.","Design","SingularField"
"8","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","33","Avoid unused private fields such as 'map'.","Best Practices","UnusedPrivateField"
"9","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","33","Perhaps 'map' could be replaced by a local variable.","Design","SingularField"
"10","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","70","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"11","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","4","99","Useless parentheses.","Code Style","UselessParentheses"
"12","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","4","99","Useless parentheses.","Code Style","UselessParentheses"
"13","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","4","190","Useless parentheses.","Code Style","UselessParentheses"
"14","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","206","A switch statement does not contain a break","Error Prone","MissingBreakInSwitch"
"15","model.event","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/event/WorkerProcess.java","3","206","Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"1","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/ImageOrganizer.java","4","11","Avoid unused imports such as 'model'","Best Practices","UnusedImports"
"2","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/ImageOrganizer.java","1","26","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"3","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/ImageOrganizer.java","3","30","Avoid using implementation types like 'HashMap'; use the interface instead","Best Practices","LooseCoupling"
"4","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/ImageOrganizer.java","3","33","Singleton is not thread safe","Multithreading","NonThreadSafeSingleton"
"1","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/KeyboardProcesser.java","4","12","Avoid unused imports such as 'model'","Best Practices","UnusedImports"
"2","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/KeyboardProcesser.java","3","59","Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"3","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/KeyboardProcesser.java","3","78","Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"1","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/MainGui.java","4","12","Avoid unused imports such as 'model'","Best Practices","UnusedImports"
"2","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/MainGui.java","3","36","Perhaps 'pnlButtons' could be replaced by a local variable.","Design","SingularField"
"3","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/MainGui.java","3","38","Perhaps 'lblBackground' could be replaced by a local variable.","Design","SingularField"
"1","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","12","Avoid unused imports such as 'model'","Best Practices","UnusedImports"
"2","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","14","Avoid unused imports such as 'javax.swing'","Best Practices","UnusedImports"
"3","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","16","Avoid unused imports such as 'java.awt.image.BufferedImage'","Best Practices","UnusedImports"
"4","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","17","Avoid unused imports such as 'java.util.Vector'","Best Practices","UnusedImports"
"5","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","3","37","This final field could be made static","Design","FinalFieldCouldBeStatic"
"6","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","3","39","Avoid unused private fields such as 'imgOrganizer'.","Best Practices","UnusedPrivateField"
"7","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","3","39","Perhaps 'imgOrganizer' could be replaced by a local variable.","Design","SingularField"
"8","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","46","Useless parentheses.","Code Style","UselessParentheses"
"9","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","47","Useless parentheses.","Code Style","UselessParentheses"
"10","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","49","Useless parentheses.","Code Style","UselessParentheses"
"11","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","50","Useless parentheses.","Code Style","UselessParentheses"
"12","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","3","61","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"13","view","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/view/Renderer.java","4","73","Useless parentheses.","Code Style","UselessParentheses"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/CoinContainerTest.java","4","18","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/CoinContainerTest.java","3","60","Use assertNull(x) instead of assertTrue(x==null), or assertNotNull(x) vs assertFalse(x==null)","Best Practices","UseAssertNullInsteadOfAssertTrue"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/CoinContainerTest.java","3","86","Use equals() to compare object references.","Error Prone","CompareObjectsWithEquals"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/CoinContainerTest.java","3","86","Use equals() to compare object references.","Error Prone","CompareObjectsWithEquals"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/CoinTest.java","4","17","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GameTest.java","4","16","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostContainerTest.java","4","20","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostContainerTest.java","3","36","Perhaps 'pos1' could be replaced by a local variable.","Design","SingularField"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostContainerTest.java","3","37","Perhaps 'pos2' could be replaced by a local variable.","Design","SingularField"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostTest.java","4","17","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostTest.java","3","80","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostTest.java","3","85","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/GhostTest.java","3","90","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/LevelTest.java","4","16","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/MapObjectContainerTest.java","4","16","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/MapTest.java","4","16","Avoid unused imports such as 'org.junit.Assert'","Best Practices","UnusedImports"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/ScoreTest.java","4","16","Avoid unused imports such as 'org.junit.Assert.assertSame'","Best Practices","UnusedImports"
"1","model.exception","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/test/java/model/exception/ListFullExceptionTest.java","4","29","Unnecessary use of fully qualified name 'model.exception.ListFullException' due to existing same package import 'model.exception.*'","Code Style","UnnecessaryFullyQualifiedName"
