Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,splitHeight,Magic Number,The method contains a magic number: 13
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,splitHeight,Magic Number,The method contains a magic number: 13
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,splitOutOfBounds,Magic Number,The method contains a magic number: 10
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,splitOutOfBounds,Magic Number,The method contains a magic number: 10
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,splitOutOfBounds,Magic Number,The method contains a magic number: 64
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,splitOutOfBounds,Magic Number,The method contains a magic number: 10
pacman-system1,nl.tudelft.jpacman.ui,BoardPanel,render,Long Parameter List,The method has 6 parameters. 
pacman-system1,nl.tudelft.jpacman.ui,LevelStatsPanel,LevelStatsPanel,Magic Number,The method contains a magic number: 5
pacman-system1,nl.tudelft.jpacman.ui,LevelStatsPanel,LevelStatsPanel,Magic Number,The method contains a magic number: 5
pacman-system1,nl.tudelft.jpacman.ui,LevelStatsPanel,actionPerformed,Magic Number,The method contains a magic number: 5
pacman-system1,nl.tudelft.jpacman.ui,PlayerController,getNextStepTime,Magic Number,The method contains a magic number: 1000L
pacman-system1,nl.tudelft.jpacman.ui,ScorePanel,ScorePanel,Magic Number,The method contains a magic number: 3
